feature,importance,rank,selected
SsAsH2,0.0,719,False
Spe,0.0,450,False
Sp,0.0,498,False
SlogP_VSA9,0.0,719,False
SlogP_VSA7,0.0,551,False
SdssSe,0.0,719,False
SdssS,0.0,719,False
SddssSe,0.0,719,False
SssPH,0.0,719,False
SssPbH2,0.0,719,False
SssS,0.0,599,False
SssSe,0.0,719,False
TMWC10,0.0,567,False
TIC5,0.0,414,False
TIC1,0.0,353,False
TIC0,0.0,239,False
Sv,0.0,480,False
StCH,0.0,719,False
SsssssP,0.0,719,False
SsssssAs,0.0,719,False
SssssSn,0.0,719,False
SssssSi,0.0,719,False
SssssPb,0.0,719,False
SssssGe,0.0,719,False
SssssBe,0.0,719,False
SssssB,0.0,719,False
SsssdAs,0.0,719,False
SsssSnH,0.0,719,False
SsssSiH,0.0,719,False
SsssPbH,0.0,719,False
SsssP,0.0,719,False
SsssNH,0.0,719,False
SsssGeH,0.0,719,False
SsssB,0.0,719,False
SsssAs,0.0,719,False
SssSnH2,0.0,719,False
SssSiH2,0.0,719,False
SddC,0.0,719,False
AATSC2i,0.0,293,False
NssBe,0.0,719,False
ATS0m,0.0,372,False
NssssSi,0.0,719,False
NssssPb,0.0,719,False
NssssGe,0.0,719,False
NssssC,0.0,588,False
NssssBe,0.0,719,False
NssssB,0.0,719,False
NsssdAs,0.0,719,False
NsssSnH,0.0,719,False
NsssSiH,0.0,719,False
NsssPbH,0.0,719,False
NsssP,0.0,719,False
NsssNH,0.0,719,False
NsssGeH,0.0,719,False
SdNH,0.0,719,False
NsssCH,0.0,303,False
NsssB,0.0,719,False
NsssAs,0.0,719,False
NssSnH2,0.0,719,False
NssSiH2,0.0,719,False
NssSe,0.0,719,False
NssPbH2,0.0,719,False
NssPH,0.0,719,False
ATS0p,0.0,354,False
NssNH2,0.0,719,False
NssNH,0.0,588,False
